takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6
FALSE,FALSE,alternating,101,1,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,indef,3,longDefinite,11,56
FALSE,FALSE,alternating,101,1,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,indef,3,longIndefinite,12,7
FALSE,FALSE,alternating,101,1,Linda took him a gift,Linda took a gift to him,indef,3,pronoun,13,58
FALSE,FALSE,alternating,101,1,Bob took the woman a gift,Bob took a gift to the woman,indef,3,shortDefinite,14,8
FALSE,FALSE,alternating,101,1,Juan took a woman a gift,Juan took a gift to a woman,indef,3,shortIndefinite,15,59
FALSE,FALSE,alternating,101,1,Bob took the woman from work a cake,Bob took a cake to the woman from work,indef,4,longDefinite,16,9
FALSE,FALSE,alternating,101,1,Michael took a woman wearing a hat a cake,Michael took a cake to a woman wearing a hat,indef,4,longIndefinite,17,60
