iterationName,rt,response,setid,gameid,theme_type,recipient_id,verb_id,theme_id,DOsentence,PDsentence,frequency_rank,classification,stimulus_type,highValueMeans
mturkpilot1,1226,,0,6177-fd2a900d-006a-4d46-b0ea-2fc316f3b5cb,,,,,,,,,,
mturkpilot1,1941.4949999991222,,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,,
mturkpilot1,2480.2100000015344,,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,,
mturkpilot1,29070.120000003953,,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,,,,,,,,,,
mturkpilot1,6615.765000002284,20,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortDefinite,101,1,Linda took the man the meal,Linda took the meal to the man,1,alternating,main_judgement,DO
mturkpilot1,5346.355000001495,81,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortIndefinite,104,2,Bob asked a woman the questions,Bob asked the questions to a woman,4,alternating,main_judgement,PD
mturkpilot1,10667.910000003758,85,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longDefinite,107,4,Juan brought the woman who was from work a blanket,Juan brought a blanket to the woman who was from work,7,alternating,main_judgement,DO
mturkpilot1,7532.460000002175,100,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longDefinite,114,1,John drove the man from work the car,John drove the car to the man from work,14,alternating,main_judgement,PD
mturkpilot1,8314.210000004095,48,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longIndefinite,117,2,Linda taught a man who was from work the piece,Linda taught the piece to a man who was from work,17,alternating,main_judgement,DO
mturkpilot1,5717.3249999978,71,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,pronoun,120,3,Bob shot her a text,Bob shot a text to her,20,alternating,main_judgement,DO
mturkpilot1,4877.940000005765,65,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortDefinite,123,4,Maria flew the team some weapons,Maria flew some weapons to the team,23,alternating,main_judgement,PD
mturkpilot1,7200.430000004417,68,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortIndefinite,133,2,Linda quoted a man the speech,Linda quoted the speech to a man,33,alternating,main_judgement,DO
mturkpilot1,7981.429999999818,99,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longDefinite,136,4,Juan traded the woman wearing the hat some food,Juan traded some food to the woman wearing the hat,36,alternating,main_judgement,PD
mturkpilot1,6787.019999996119,86,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,longIndefinite,139,5,Maria assigned a man from work something,Maria assigned something to a man from work,39,alternating,main_judgement,PD
mturkpilot1,9302.14999999589,56,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,pronoun,143,1,Bob floated her the idea,Bob floated the idea to her,43,alternating,main_judgement,PD
mturkpilot1,5364.6349999980885,25,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,pronoun,149,3,Mary slammed him a fastball,Mary slammed a fastball to him,49,alternating,main_judgement,DO
mturkpilot1,5120.779999997467,79,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,shortDefinite,152,4,Alice bounced the man a toy,Alice bounced a toy to the man,52,alternating,main_judgement,PD
mturkpilot1,6038.755000001402,27,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,shortIndefinite,155,5,John shoved a woman something,John shoved something to a woman,55,alternating,main_judgement,DO
mturkpilot1,10536.434999994526,12,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,longDefinite,159,2,Mary willed the woman wearing the hat the estate,Mary willed the estate to the woman wearing the hat,59,alternating,main_judgement,DO
mturkpilot1,9176.01999999897,97,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,indef,longIndefinite,162,3,John batted a woman who was wearing a hat a curve-ball,John batted a curve-ball to a woman who was wearing a hat,62,alternating,main_judgement,PD
mturkpilot1,5550.324999996519,77,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,something,longIndefinite,168,5,Mary wired a man from work something,Mary wired something to a man from work,68,alternating,main_judgement,PD
mturkpilot1,6867.734999999811,55,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,pronoun,172,1,Juan leased her the apartment,Juan leased the apartment to her,72,alternating,main_judgement,DO
mturkpilot1,11102.83999999956,45,2,7592-a1760ba0-77c8-4edd-8584-7c736db03ec0,def,shortDefinite,175,2,Maria faxed the man the copy,Maria faxed the copy to the man,75,alternating,main_judgement,DO
