takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,ratio,BehavDOpreference,ngram_ratio,LSTM_ratio,GPT2_ratio,XLNet_ratio,GPT2_large_ratio,LSTM_ratio_new
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-44.67049690143904,-35.28772839263547,-9.382768508803565,8.25,1.1121711730957031,-4.414507031440735,-6.716150164604187,2.348047971725464,-7.0024813413619995,-6.168115019798279
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-52.99289753497578,-37.31229681393597,-15.68060072103981,15.4,0.706298828125,-4.749364376068115,-3.4579330682754517,-1.086838722229004,-5.766135811805725,-4.0384697914123535
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-37.005159509484656,-31.03663800051436,-5.968521508970298,25.0,2.4019107818603516,-3.056236505508423,-0.7298083305358887,7.40814995765686,-2.223088026046753,-2.3944596648216248
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,-34.00363058352377,-34.456685639801435,0.4530550562776625,16.0,2.36859130859375,-5.188248515129089,-3.339855909347534,9.19156002998352,-3.9198371171951294,0.24436593055725098
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-45.457556386012584,-36.265112661523744,-9.19244372448884,10.846153846153847,0.9070587158203125,-6.010735273361206,-5.067248225212097,6.134459972381592,-4.062736868858337,-4.438483953475952
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-52.373532674741,-41.21161138871685,-11.161921286024153,5.285714285714286,0.5793800354003906,-3.8471434116363525,-5.259127080440521,-2.678457498550415,-5.47856342792511,-4.902391970157623
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-49.239718156750314,-27.506122310296632,-21.73359584645368,3.75,-0.6209793090820312,-8.316210985183716,-5.906424701213837,-1.7223951816558838,-7.069980263710022,-6.5205777287483215
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-31.736850618151948,-28.402137076016515,-3.3347135421354324,18.53846153846154,2.5657958984375,-4.884886980056763,-0.59810471534729,2.205560564994812,-1.2732003927230835,-3.165868401527405
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,-26.139823964913376,-32.67571133800084,6.535887373087462,27.076923076923077,1.4873008728027344,-6.5149245262146,-0.625573992729187,7.230605602264404,-3.489911437034607,-0.9894369840621948
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-49.083063847152516,-39.06057462631725,-10.022489220835268,25.0,1.6697063446044922,-3.9628026485443115,-3.8990025520324707,7.546805739402771,-6.350740909576416,-2.255207657814026
FALSE,FALSE,alternating,101,1,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,indef,3,longDefinite,11,56,-35.80085493985098,-40.26142399630044,4.460569056449458,10.923076923076923,-1.9912033081054688,-2.932267427444458,-3.455088973045349,-7.901228249073029,-4.0103912353515625,-4.770749568939209
FALSE,FALSE,alternating,101,1,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,indef,3,longIndefinite,12,7,-44.6886221668683,-41.81074602995068,-2.877876136917621,9.0,-1.7952823638916016,-4.690889596939087,-3.932900160551071,7.347044587135315,-4.855029582977295,-3.8235166668891907
FALSE,FALSE,alternating,101,1,Linda took him a gift,Linda took a gift to him,indef,3,pronoun,13,58,-39.22444153437391,-45.58953138627112,6.36508985189721,43.1,1.6584548950195312,-1.0743458271026611,0.5050127506256104,4.7385454177856445,1.7070878744125366,0.5317070484161377
FALSE,FALSE,alternating,101,1,Bob took the woman a gift,Bob took a gift to the woman,indef,3,shortDefinite,14,8,-33.85903112636879,-42.57053867785726,8.711507551488467,41.09090909090909,-0.91363525390625,-3.40962290763855,-1.7235758304595947,13.660171270370483,-0.8094089031219482,-0.8337198495864868
FALSE,FALSE,alternating,101,1,Juan took a woman a gift,Juan took a gift to a woman,indef,3,shortIndefinite,15,59,-46.68518123123795,-42.01156481076032,-4.673616420477629,20.8,-0.6653900146484375,-2.3218371868133545,-1.6591498851776123,6.155603766441345,-0.6561651229858398,-2.2868826389312744
FALSE,FALSE,alternating,101,1,Bob took the woman from work a cake,Bob took a cake to the woman from work,indef,4,longDefinite,16,9,-53.85255205351859,-47.902614139253274,-5.94993791426532,15.636363636363637,-0.044353485107421875,5.431567430496216,-4.870592474937439,8.223322868347168,-7.28109884262085,2.9315959215164185
FALSE,FALSE,alternating,101,1,Michael took a woman wearing a hat a cake,Michael took a cake to a woman wearing a hat,indef,4,longIndefinite,17,60,-51.77589971781708,-40.668419525492936,-11.107480192324147,9.666666666666666,1.1355705261230469,-7.2378093004226685,-6.882967442274094,7.986961483955383,-3.804490774869919,-6.8561354875564575
FALSE,FALSE,alternating,101,1,John took her a cake,John took a cake to her,indef,4,pronoun,18,11,-35.997959952568635,-35.903838601429015,-0.09412135113961995,75.88888888888889,1.8834724426269531,-2.079541563987732,-1.3208951950073242,6.187114238739014,1.3728749752044678,-0.28719305992126465
FALSE,FALSE,alternating,101,1,Alice took the woman a cake,Alice took a cake to the woman,indef,4,shortDefinite,19,61,-33.01573911309242,-43.38298269826919,10.367243585176766,27.6,0.4738960266113281,0.2288665771484375,-1.0563544034957886,6.6427953243255615,-0.1354823112487793,0.9350160360336304
FALSE,FALSE,alternating,101,1,Alice took a woman a cake,Alice took a cake to a woman,indef,4,shortIndefinite,20,12,-49.10255682654679,-46.93535644095391,-2.167200385592878,38.857142857142854,1.8725547790527344,-3.5908052921295166,0.14734816551208496,8.25557017326355,-0.5624442100524902,-1.4273202419281006
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat something,Bob took something to the man wearing the hat,something,5,longDefinite,21,63,-52.33987231639912,-47.06410361098824,-5.275768705410883,8.777777777777779,1.5407752990722656,-3.7927955389022827,-3.1992404460906982,-6.666513442993164,-4.805217027664185,-4.442194581031799
FALSE,FALSE,alternating,101,1,Juan took a woman wearing a hat something,Juan took something to a woman wearing a hat,something,5,longIndefinite,22,13,-54.21938320621848,-43.98656360222958,-10.2328196039889,6.333333333333333,1.3215827941894531,-1.5261127948760986,-4.623881936073303,-0.40510237216949463,-2.8306080996990204,-5.71959388256073
FALSE,FALSE,alternating,101,1,Linda took him something,Linda took something to him,something,5,pronoun,23,64,-40.392313761869445,-40.844277129042894,0.4519633671734482,25.7,2.87457275390625,0.4278472661972046,-0.8082785606384277,4.910017132759094,-0.9852190017700195,-5.227553009986877
FALSE,FALSE,alternating,101,1,Michael took the woman something,Michael took something to the woman,something,5,shortDefinite,24,14,-36.7564757973887,-42.3666493849596,5.610173587570898,15.7,0.6281833648681641,-3.943350672721863,-0.8624172210693359,0.5897564888000488,-0.6464922428131104,-2.813651919364929
FALSE,FALSE,alternating,101,1,Mary took a woman something,Mary took something to a woman,something,5,shortIndefinite,25,65,-49.89841540530324,-46.93435926735401,-2.9640561379492283,26.181818181818183,1.4526519775390625,-1.1009167432785034,-0.6851669549942017,-1.5815086364746094,-2.582476019859314,-2.2945282459259033
FALSE,FALSE,alternating,102,2,Mary told the man from work the news,Mary told the news to the man from work,def,1,longDefinite,26,16,-25.270367844146676,-23.901987577788532,-1.3683802663581446,65.875,-1.3922138214111328,-1.2305705547332764,1.472174882888794,-3.324785590171814,1.9269890785217285,-3.3226354122161865
FALSE,FALSE,alternating,102,2,Linda told a woman who was from work the news,Linda told the news to a woman who was from work,def,1,longIndefinite,27,66,-43.86984235490672,-38.02659997693263,-5.843242377974093,28.545454545454547,-2.7266845703125,-1.014524221420288,-1.535574734210968,1.1048271656036377,2.6304551362991333,-2.449186682701111
FALSE,FALSE,alternating,102,2,Juan told her the news,Juan told the news to her,def,1,pronoun,28,17,-18.11806361679919,-21.33274778421037,3.2146841674111784,78.75,-0.07241249084472656,4.382979393005371,7.2113142013549805,3.9505770206451416,9.13974416255951,2.220126986503601
