takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,ratio
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-44.67049690143904,-35.28772839263547,-9.382768508803565
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-52.99289753497578,-37.31229681393597,-15.68060072103981
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-37.005159509484656,-31.03663800051436,-5.968521508970298
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,-34.00363058352377,-34.456685639801435,0.4530550562776625
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-45.457556386012584,-36.265112661523744,-9.19244372448884
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-52.373532674741,-41.21161138871685,-11.161921286024153
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-49.239718156750314,-27.506122310296632,-21.73359584645368
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-31.736850618151948,-28.402137076016515,-3.3347135421354324
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,-26.139823964913376,-32.67571133800084,6.535887373087462
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-49.083063847152516,-39.06057462631725,-10.022489220835268
FALSE,FALSE,alternating,101,1,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,indef,3,longDefinite,11,56,-35.80085493985098,-40.26142399630044,4.460569056449458
FALSE,FALSE,alternating,101,1,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,indef,3,longIndefinite,12,7,-44.6886221668683,-41.81074602995068,-2.877876136917621
FALSE,FALSE,alternating,101,1,Linda took him a gift,Linda took a gift to him,indef,3,pronoun,13,58,-39.22444153437391,-45.58953138627112,6.36508985189721
FALSE,FALSE,alternating,101,1,Bob took the woman a gift,Bob took a gift to the woman,indef,3,shortDefinite,14,8,-33.85903112636879,-42.57053867785726,8.711507551488467
FALSE,FALSE,alternating,101,1,Juan took a woman a gift,Juan took a gift to a woman,indef,3,shortIndefinite,15,59,-46.68518123123795,-42.01156481076032,-4.673616420477629
FALSE,FALSE,alternating,101,1,Bob took the woman from work a cake,Bob took a cake to the woman from work,indef,4,longDefinite,16,9,-53.85255205351859,-47.902614139253274,-5.94993791426532
FALSE,FALSE,alternating,101,1,Michael took a woman wearing a hat a cake,Michael took a cake to a woman wearing a hat,indef,4,longIndefinite,17,60,-51.77589971781708,-40.668419525492936,-11.107480192324147
FALSE,FALSE,alternating,101,1,John took her a cake,John took a cake to her,indef,4,pronoun,18,11,-35.997959952568635,-35.903838601429015,-0.09412135113961995
FALSE,FALSE,alternating,101,1,Alice took the woman a cake,Alice took a cake to the woman,indef,4,shortDefinite,19,61,-33.01573911309242,-43.38298269826919,10.367243585176766
FALSE,FALSE,alternating,101,1,Alice took a woman a cake,Alice took a cake to a woman,indef,4,shortIndefinite,20,12,-49.10255682654679,-46.93535644095391,-2.167200385592878
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat something,Bob took something to the man wearing the hat,something,5,longDefinite,21,63,-52.33987231639912,-47.06410361098824,-5.275768705410883
FALSE,FALSE,alternating,101,1,Juan took a woman wearing a hat something,Juan took something to a woman wearing a hat,something,5,longIndefinite,22,13,-54.21938320621848,-43.98656360222958,-10.2328196039889
FALSE,FALSE,alternating,101,1,Linda took him something,Linda took something to him,something,5,pronoun,23,64,-40.392313761869445,-40.844277129042894,0.4519633671734482
FALSE,FALSE,alternating,101,1,Michael took the woman something,Michael took something to the woman,something,5,shortDefinite,24,14,-36.7564757973887,-42.3666493849596,5.610173587570898
FALSE,FALSE,alternating,101,1,Mary took a woman something,Mary took something to a woman,something,5,shortIndefinite,25,65,-49.89841540530324,-46.93435926735401,-2.9640561379492283
FALSE,FALSE,alternating,102,2,Mary told the man from work the news,Mary told the news to the man from work,def,1,longDefinite,26,16,-25.270367844146676,-23.901987577788532,-1.3683802663581446
FALSE,FALSE,alternating,102,2,Linda told a woman who was from work the news,Linda told the news to a woman who was from work,def,1,longIndefinite,27,66,-43.86984235490672,-38.02659997693263,-5.843242377974093
FALSE,FALSE,alternating,102,2,Juan told her the news,Juan told the news to her,def,1,pronoun,28,17,-18.11806361679919,-21.33274778421037,3.2146841674111784
FALSE,FALSE,alternating,102,2,Michael told the man the news,Michael told the news to the man,def,1,shortDefinite,29,67,-13.252909115864895,-17.996349216555245,4.74344010069035
FALSE,FALSE,alternating,102,2,Linda told a woman the news,Linda told the news to a woman,def,1,shortIndefinite,30,18,-27.23911852412857,-27.66356694023125,0.4244484161026776
FALSE,FALSE,alternating,102,2,Linda told the woman wearing the hat the tale,Linda told the tale to the woman wearing the hat,def,2,longDefinite,31,69,-29.11710881840554,-27.514091383229243,-1.603017435176298
FALSE,FALSE,alternating,102,2,Maria told a woman who was wearing a hat the tale,Maria told the tale to a woman who was wearing a hat,def,2,longIndefinite,32,19,-23.51741875964217,-21.319711107295007,-2.1977076523471624
FALSE,FALSE,alternating,102,2,Maria told him the tale,Maria told the tale to him,def,2,pronoun,33,70,-15.650540809729137,-15.835503685171716,0.1849628754425794
