takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,bert_ratio,BehavDOpreference,ngram_ratio,lstm_ratio,gpt2_ratio,gpt2-large_ratio,lstm-large_ratio
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-9.382768508803565,8.25,1.1121711730957031,-5.851462483406067,-6.164727210998535,-7.235075056552887,-12.006509244441986
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-15.68060072103981,15.4,0.706298828125,-4.340145468711853,-3.94523823261261,-6.129499793052673,-10.278103947639465
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-5.968521508970298,25.0,2.4019107818603516,-2.0526683926582336,-0.34375810623168945,-2.816399097442627,10.603262424468994
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,0.4530550562776625,16.0,2.36859130859375,0.25738823413848877,-2.9749690294265747,-4.401578903198242,-4.488988876342773
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-9.19244372448884,10.846153846153847,0.9070587158203125,-4.522878408432007,-4.056804180145264,-4.884245157241821,-4.385728120803833
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-11.161921286024153,5.285714285714286,0.5793800354003906,-4.866676092147827,-4.2044970989227295,-3.960003614425659,-4.756903529167175
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-21.73359584645368,3.75,-0.6209793090820312,-6.443044602870941,-5.709006726741791,-8.596064746379852,-12.406983435153961
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-3.3347135421354324,18.53846153846154,2.5657958984375,-2.844175338745117,0.9502584934234619,-2.655930995941162,-7.664673805236816
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,6.535887373087462,27.076923076923077,1.4873008728027344,-0.5654314756393433,-0.2448735237121582,-3.8780455589294434,-2.7009693384170532
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-10.022489220835268,25.0,1.6697063446044922,-2.192742943763733,-3.653618812561035,-4.649705410003662,-6.522225618362427
FALSE,FALSE,alternating,101,1,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,indef,3,longDefinite,11,56,4.460569056449458,10.923076923076923,-1.9912033081054688,-4.737281799316406,-2.2637239694595337,-3.3707103729248047,-7.804190635681152
FALSE,FALSE,alternating,101,1,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,indef,3,longIndefinite,12,7,-2.877876136917621,9.0,-1.7952823638916016,-3.94415146112442,-2.7378606498241425,-4.552681237459183,-5.450346648693085
FALSE,FALSE,alternating,101,1,Linda took him a gift,Linda took a gift to him,indef,3,pronoun,13,58,6.36508985189721,43.1,1.6584548950195312,0.9281514883041382,1.9255999326705933,1.007591724395752,8.40462327003479
FALSE,FALSE,alternating,101,1,Bob took the woman a gift,Bob took a gift to the woman,indef,3,shortDefinite,14,8,8.711507551488467,41.09090909090909,-0.91363525390625,-0.7162308692932129,-1.2274322509765625,0.5195109844207764,-0.3328273296356201
FALSE,FALSE,alternating,101,1,Juan took a woman a gift,Juan took a gift to a woman,indef,3,shortIndefinite,15,59,-4.673616420477629,20.8,-0.6653900146484375,-2.2479519844055176,0.4079093933105469,-1.1218454837799072,1.4525623321533203
FALSE,FALSE,alternating,101,1,Bob took the woman from work a cake,Bob took a cake to the woman from work,indef,4,longDefinite,16,9,-5.94993791426532,15.636363636363637,-0.044353485107421875,2.8304659128189087,-3.5613569021224976,-3.0538787841796875,-5.9123066663742065
FALSE,FALSE,alternating,101,1,Michael took a woman wearing a hat a cake,Michael took a cake to a woman wearing a hat,indef,4,longIndefinite,17,60,-11.107480192324147,9.666666666666666,1.1355705261230469,-7.065702438354492,-6.091626405715942,-3.766169637441635,-7.730584979057312
FALSE,FALSE,alternating,101,1,John took her a cake,John took a cake to her,indef,4,pronoun,18,11,-0.09412135113961995,75.88888888888889,1.8834724426269531,-0.19220709800720215,0.7790250778198242,1.9517083168029785,2.148019552230835
FALSE,FALSE,alternating,101,1,Alice took the woman a cake,Alice took a cake to the woman,indef,4,shortDefinite,19,61,10.367243585176766,27.6,0.4738960266113281,0.6376463174819946,-0.14107561111450195,0.597830057144165,0.4674896001815796
FALSE,FALSE,alternating,101,1,Alice took a woman a cake,Alice took a cake to a woman,indef,4,shortIndefinite,20,12,-2.167200385592878,38.857142857142854,1.8725547790527344,-1.6173638105392456,1.126389503479004,1.237842321395874,-1.9513890743255615
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat something,Bob took something to the man wearing the hat,something,5,longDefinite,21,63,-5.275768705410883,8.777777777777779,1.5407752990722656,-4.82217800617218,-2.5046597719192505,-4.204214155673981,-2.187290608882904
FALSE,FALSE,alternating,101,1,Juan took a woman wearing a hat something,Juan took something to a woman wearing a hat,something,5,longIndefinite,22,13,-10.2328196039889,6.333333333333333,1.3215827941894531,-6.2764304876327515,-2.9933863282203674,-2.3745133876800537,-5.727935791015625
FALSE,FALSE,alternating,101,1,Linda took him something,Linda took something to him,something,5,pronoun,23,64,0.4519633671734482,25.7,2.87457275390625,-5.193528413772583,-0.13405251502990723,-1.280571460723877,3.146634340286255
FALSE,FALSE,alternating,101,1,Michael took the woman something,Michael took something to the woman,something,5,shortDefinite,24,14,5.610173587570898,15.7,0.6281833648681641,-2.9348477125167847,-1.6662259101867676,-0.28740978240966797,-3.35800039768219
FALSE,FALSE,alternating,101,1,Mary took a woman something,Mary took something to a woman,something,5,shortIndefinite,25,65,-2.9640561379492283,26.181818181818183,1.4526519775390625,-2.636959195137024,-1.3253421783447266,-2.3943530321121216,-6.460501790046692
FALSE,FALSE,alternating,102,2,Mary told the man from work the news,Mary told the news to the man from work,def,1,longDefinite,26,16,-1.3683802663581446,65.875,-1.3922138214111328,-3.3307089805603027,0.5068027973175049,2.9699982404708862,3.431432604789734
FALSE,FALSE,alternating,102,2,Linda told a woman who was from work the news,Linda told the news to a woman who was from work,def,1,longIndefinite,27,66,-5.843242377974093,28.545454545454547,-2.7266845703125,-2.751801013946533,-0.9783167839050293,1.8421418070793152,2.6968376636505127
FALSE,FALSE,alternating,102,2,Juan told her the news,Juan told the news to her,def,1,pronoun,28,17,3.2146841674111784,78.75,-0.07241249084472656,2.319790244102478,7.001886367797852,6.67219877243042,13.788832187652588
FALSE,FALSE,alternating,102,2,Michael told the man the news,Michael told the news to the man,def,1,shortDefinite,29,67,4.74344010069035,62.22222222222222,-1.2372703552246094,0.5906939506530762,5.53455924987793,5.019676685333252,10.80629575252533
FALSE,FALSE,alternating,102,2,Linda told a woman the news,Linda told the news to a woman,def,1,shortIndefinite,30,18,0.4244484161026776,41.111111111111114,-2.3505687713623047,-1.7952157258987427,3.7019753456115723,5.59361457824707,8.85252571105957
FALSE,FALSE,alternating,102,2,Linda told the woman wearing the hat the tale,Linda told the tale to the woman wearing the hat,def,2,longDefinite,31,69,-1.603017435176298,36.75,-0.868133544921875,-7.18226957321167,-2.131901502609253,-1.4607247114181519,-5.525177001953125
FALSE,FALSE,alternating,102,2,Maria told a woman who was wearing a hat the tale,Maria told the tale to a woman who was wearing a hat,def,2,longIndefinite,32,19,-2.1977076523471624,34.888888888888886,-3.046733856201172,-11.252914309501648,-2.4524174332618713,-3.5682408809661865,-8.011924386024475
FALSE,FALSE,alternating,102,2,Maria told him the tale,Maria told the tale to him,def,2,pronoun,33,70,0.1849628754425794,63.0,2.32147216796875,2.37235689163208,3.9304070472717285,4.033214092254639,5.151382803916931
FALSE,FALSE,alternating,102,2,Linda told the man the tale,Linda told the tale to the man,def,2,shortDefinite,34,21,1.2782787057221867,72.2,0.4753589630126953,0.7650961875915527,0.34316372871398926,0.2775956392288208,2.2875659465789795
FALSE,FALSE,alternating,102,2,John told a man the tale,John told the tale to a man,def,2,shortIndefinite,35,71,-5.889381838031113,54.72727272727273,-0.9415416717529297,-3.1157091856002808,-2.3927764892578125,-0.7347114086151123,-3.977867364883423
FALSE,FALSE,alternating,102,2,Linda told the man who was wearing the hat a story,Linda told a story to the man who was wearing the hat,indef,3,longDefinite,36,22,1.2433870738605037,39.63636363636363,-3.2193374633789062,-9.207227110862732,-2.8359328508377075,-2.7852386236190796,-5.643242001533508
FALSE,FALSE,alternating,102,2,Alice told a woman from work a story,Alice told a story to a woman from work,indef,3,longIndefinite,37,72,6.965025105047971,46.36363636363637,-3.673280715942383,-5.0249924659729,-1.7314631938934326,-2.9759724140167236,-4.530011892318726
FALSE,FALSE,alternating,102,2,Linda told him a story,Linda told a story to him,indef,3,pronoun,38,23,2.9895036418456584,60.42857142857143,0.7979297637939453,1.7193162441253662,5.00666880607605,3.761683702468872,10.588488101959229
FALSE,FALSE,alternating,102,2,Linda told the woman a story,Linda told a story to the woman,indef,3,shortDefinite,39,74,8.983827126328833,69.46153846153847,-1.7480812072753906,0.2976170778274536,2.476381301879883,1.4310829639434814,3.0718255043029785
FALSE,FALSE,alternating,102,2,Alice told a woman a story,Alice told a story to a woman,indef,3,shortIndefinite,40,24,2.8070023031905293,47.9,-3.1043624877929688,-2.355112314224243,1.308703899383545,0.8345810174942017,-1.7629079818725586
FALSE,FALSE,alternating,102,2,Alice told the man wearing the hat some information,Alice told some information to the man wearing the hat,indef,4,longDefinite,41,75,3.576328678667778,56.333333333333336,0.4756813049316406,-1.5228065252304077,-0.9830560088157654,-1.3964449167251587,10.24432361125946
FALSE,FALSE,alternating,102,2,Michael told a woman who was from work some information,Michael told some information to a woman who was from work,indef,4,longIndefinite,42,26,1.775528239668347,44.55555555555556,-0.05040740966796875,-2.8235281705856323,-2.7522218227386475,-3.5420182943344116,0.5133876800537109
FALSE,FALSE,alternating,102,2,Alice told him some information,Alice told some information to him,indef,4,pronoun,43,76,6.005343877943233,90.9,3.5634498596191406,4.749935030937195,7.057595729827881,2.9948477745056152,8.747292518615723
FALSE,FALSE,alternating,102,2,Maria told the man some information,Maria told some information to the man,indef,4,shortDefinite,44,27,4.202030268730596,61.285714285714285,1.2386493682861328,2.873261332511902,2.95029616355896,1.6786941289901733,0.0779268741607666
FALSE,FALSE,alternating,102,2,Juan told a man some information,Juan told some information to a man,indef,4,shortIndefinite,45,77,1.409144714474678,64.5,0.7315559387207031,1.836045742034912,1.167245626449585,-0.9689099788665771,6.435804605484009
FALSE,FALSE,alternating,102,2,Juan told the man who was from work something,Juan told something to the man who was from work,something,5,longDefinite,46,28,-9.917410150519572,44.333333333333336,1.5400733947753906,-1.5513439178466797,-3.298554301261902,-3.621468424797058,20.5942804813385
FALSE,FALSE,alternating,102,2,Juan told a man from work something,Juan told something to a man from work,something,5,longIndefinite,47,79,-9.297941498225555,64.63636363636364,2.2951698303222656,-2.6832783222198486,-2.022584915161133,-3.531346321105957,13.448225259780884
FALSE,FALSE,alternating,102,2,Michael told her something,Michael told something to her,something,5,pronoun,48,29,9.83741079387255,96.7,1.753683090209961,2.4049320220947266,3.7114806175231934,3.136564016342163,13.463360071182251
FALSE,FALSE,alternating,102,2,Michael told the man something,Michael told something to the man,something,5,shortDefinite,49,80,10.163515957072377,80.5,1.5929737091064453,1.0518826246261597,-1.5086947679519653,2.140328288078308,14.689555883407593
FALSE,FALSE,alternating,102,2,Maria told a man something,Maria told something to a man,something,5,shortIndefinite,50,31,4.505100108217448,52.888888888888886,1.5165081024169922,1.2762014865875244,-2.2359426021575928,-0.7617948055267334,1.0236659049987793
FALSE,FALSE,alternating,103,3,Linda gave the man from work the book,Linda gave the book to the man from work,def,1,longDefinite,51,81,-5.044790434418246,32.416666666666664,-0.9768581390380859,0.7123444080352783,-2.2935277223587036,-2.76253342628479,-4.722510933876038
FALSE,FALSE,alternating,103,3,Alice gave a woman wearing a hat the book,Alice gave the book to a woman wearing a hat,def,1,longIndefinite,52,32,-6.06228394707432,33.4,-2.207763671875,-9.218773543834686,-4.426260858774185,-2.1344708800315857,-15.785490155220032
FALSE,FALSE,alternating,103,3,Juan gave her the book,Juan gave the book to her,def,1,pronoun,53,82,0.2102247365983203,64.0,0.21342086791992188,1.0681349039077759,2.339740037918091,2.2215110063552856,8.294926166534424
FALSE,FALSE,alternating,103,3,Bob gave the woman the book,Bob gave the book to the woman,def,1,shortDefinite,54,33,0.4673836513538845,42.6,-0.8691272735595703,-0.43118560314178467,0.39913129806518555,-0.6293470859527588,4.210356295108795
FALSE,FALSE,alternating,103,3,Mary gave a woman the book,Mary gave the book to a woman,def,1,shortIndefinite,55,84,-9.36819668544922,26.0,-1.4951438903808594,-3.721491813659668,0.7965985536575317,-1.3511223793029785,-2.640227794647217
FALSE,FALSE,alternating,103,3,Linda gave the woman from work the job,Linda gave the job to the woman from work,def,2,longDefinite,56,34,-0.7336165385786444,41.69230769230769,-0.5457687377929688,-0.520323634147644,-1.3093827962875366,-2.0048054456710815,-5.317514538764954
FALSE,FALSE,alternating,103,3,Mary gave a woman who was from work the job,Mary gave the job to a woman who was from work,def,2,longIndefinite,57,85,-9.852444464107975,20.77777777777778,-0.5866737365722656,-6.812320232391357,-4.176077425479889,-3.350835144519806,-13.307483673095703
FALSE,FALSE,alternating,103,3,Alice gave him the job,Alice gave the job to him,def,2,pronoun,58,35,0.6342484257766046,71.0,3.1939926147460938,4.267469048500061,4.494893014431,4.216806650161743,-1.7512230277061462
FALSE,FALSE,alternating,103,3,Mary gave the man the job,Mary gave the job to the man,def,2,shortDefinite,59,86,3.3432631369214505,65.66666666666667,0.4045829772949219,1.5521605014801025,1.7511917352676392,3.26192444562912,3.3741776943206787
FALSE,FALSE,alternating,103,3,Maria gave a woman the job,Maria gave the job to a woman,def,2,shortIndefinite,60,37,-1.8894858635030687,28.818181818181817,-1.233022689819336,-3.2091110348701477,-0.4874582290649414,-2.033860146999359,-9.255160331726074
FALSE,FALSE,alternating,103,3,Mary gave the man who was wearing the hat a gift,Mary gave a gift to the man who was wearing the hat,indef,3,longDefinite,61,87,4.808839118573815,43.583333333333336,-2.8890457153320312,-10.284768223762512,-2.1525278091430664,-1.6528582572937012,-8.962201476097107
