takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,BERT_ratio,BehavDOpreference,ngram_ratio,LSTM_ratio,GPT2_ratio,XLNet_ratio,GPT2_large_ratio,Big_LSTM_ratio
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-44.67049690143904,-35.28772839263547,-9.382768508803565,8.25,1.1121711730957031,-5.851462483406067,-6.164727210998535,2.348047971725464,-7.235075056552887,-12.006509244441986
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-52.99289753497578,-37.31229681393597,-15.68060072103981,15.4,0.706298828125,-4.340145468711853,-3.94523823261261,-1.086838722229004,-6.129499793052673,-10.278103947639465
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-37.005159509484656,-31.03663800051436,-5.968521508970298,25.0,2.4019107818603516,-2.0526683926582336,-0.34375810623168945,7.40814995765686,-2.816399097442627,10.603262424468994
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,-34.00363058352377,-34.456685639801435,0.4530550562776625,16.0,2.36859130859375,0.25738823413848877,-2.9749690294265747,9.19156002998352,-4.401578903198242,-4.488988876342773
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-45.457556386012584,-36.265112661523744,-9.19244372448884,10.846153846153847,0.9070587158203125,-4.522878408432007,-4.056804180145264,6.134459972381592,-4.884245157241821,-4.385728120803833
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-52.373532674741,-41.21161138871685,-11.161921286024153,5.285714285714286,0.5793800354003906,-4.866676092147827,-4.2044970989227295,-2.678457498550415,-3.960003614425659,-4.756903529167175
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-49.239718156750314,-27.506122310296632,-21.73359584645368,3.75,-0.6209793090820312,-6.443044602870941,-5.709006726741791,-1.7223951816558838,-8.596064746379852,-12.406983435153961
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-31.736850618151948,-28.402137076016515,-3.3347135421354324,18.53846153846154,2.5657958984375,-2.844175338745117,0.9502584934234619,2.205560564994812,-2.655930995941162,-7.664673805236816
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,-26.139823964913376,-32.67571133800084,6.535887373087462,27.076923076923077,1.4873008728027344,-0.5654314756393433,-0.2448735237121582,7.230605602264404,-3.8780455589294434,-2.7009693384170532
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-49.083063847152516,-39.06057462631725,-10.022489220835268,25.0,1.6697063446044922,-2.192742943763733,-3.653618812561035,7.546805739402771,-4.649705410003662,-6.522225618362427
FALSE,FALSE,alternating,101,1,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,indef,3,longDefinite,11,56,-35.80085493985098,-40.26142399630044,4.460569056449458,10.923076923076923,-1.9912033081054688,-4.737281799316406,-2.2637239694595337,-7.901228249073029,-3.3707103729248047,-7.804190635681152
FALSE,FALSE,alternating,101,1,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,indef,3,longIndefinite,12,7,-44.6886221668683,-41.81074602995068,-2.877876136917621,9.0,-1.7952823638916016,-3.94415146112442,-2.7378606498241425,7.347044587135315,-4.552681237459183,-5.450346648693085
FALSE,FALSE,alternating,101,1,Linda took him a gift,Linda took a gift to him,indef,3,pronoun,13,58,-39.22444153437391,-45.58953138627112,6.36508985189721,43.1,1.6584548950195312,0.9281514883041382,1.9255999326705933,4.7385454177856445,1.007591724395752,8.40462327003479
FALSE,FALSE,alternating,101,1,Bob took the woman a gift,Bob took a gift to the woman,indef,3,shortDefinite,14,8,-33.85903112636879,-42.57053867785726,8.711507551488467,41.09090909090909,-0.91363525390625,-0.7162308692932129,-1.2274322509765625,13.660171270370483,0.5195109844207764,-0.3328273296356201
FALSE,FALSE,alternating,101,1,Juan took a woman a gift,Juan took a gift to a woman,indef,3,shortIndefinite,15,59,-46.68518123123795,-42.01156481076032,-4.673616420477629,20.8,-0.6653900146484375,-2.2479519844055176,0.4079093933105469,6.155603766441345,-1.1218454837799072,1.4525623321533203
FALSE,FALSE,alternating,101,1,Bob took the woman from work a cake,Bob took a cake to the woman from work,indef,4,longDefinite,16,9,-53.85255205351859,-47.902614139253274,-5.94993791426532,15.636363636363637,-0.044353485107421875,2.8304659128189087,-3.5613569021224976,8.223322868347168,-3.0538787841796875,-5.9123066663742065
